File name,# Liquid Flow Rate (mL/min) , Atomization O2 Flow Rate (L/min) , Sheath O2 Flow Rate (L/min) , ER1 (EtOH/AtomO2) , ER2 (EtOH/AtomO2+SheathO2),Burner Cap Temperature,Result,
flame-spray-40.avi,6.66E+00,1.13E+01,1.29E+01,5.10E-01,2.40E-01,2.03E+02,0.00E+00,
flame-spray-38.avi,7.38E+00,1.17E+01,1.15E+01,5.50E-01,2.80E-01,1.98E+02,0.00E+00,
flame-spray-36.avi,7.62E+00,1.19E+01,7.50E+00,5.60E-01,3.40E-01,1.91E+02,0.00E+00,
flame-spray-34.avi,6.42E+00,9.66E+00,1.07E+01,5.80E-01,2.70E-01,1.82E+02,0.00E+00,
flame-spray-32.avi,6.18E+00,9.18E+00,1.37E+01,5.90E-01,2.30E-01,1.68E+02,0.00E+00,
flame-spray-30.avi,7.98E+00,1.15E+01,6.10E+00,6.10E-01,4.00E-01,1.47E+02,0.00E+00,
flame-spray-28.avi,7.26E+00,1.00E+01,8.30E+00,6.30E-01,3.40E-01,1.47E+02,0.00E+00,
flame-spray-26.avi,8.46E+00,1.16E+01,7.30E+00,6.40E-01,3.90E-01,1.45E+02,0.00E+00,
flame-spray-24.avi,8.34E+00,1.11E+01,1.41E+01,6.50E-01,2.90E-01,1.44E+02,0.00E+00,
flame-spray-22.avi,7.86E+00,1.04E+01,9.70E+00,6.60E-01,3.40E-01,1.44E+02,0.00E+00,
flame-spray-20.avi,7.02E+00,8.94E+00,7.70E+00,6.80E-01,3.70E-01,1.43E+02,0.00E+00,
flame-spray-18.avi,6.06E+00,7.38E+00,1.09E+01,7.10E-01,2.90E-01,1.41E+02,0.00E+00,
flame-spray-16.avi,6.30E+00,7.62E+00,1.39E+01,7.20E-01,2.50E-01,1.39E+02,0.00E+00,
flame-spray-14.avi,8.82E+00,1.01E+01,9.30E+00,7.60E-01,3.90E-01,1.37E+02,0.00E+00,
flame-spray-12.avi,1.05E+01,1.18E+01,8.70E+00,7.70E-01,4.50E-01,1.34E+02,1.00E+00,
flame-spray-10.avi,9.90E+00,1.10E+01,6.70E+00,7.80E-01,4.90E-01,1.33E+02,0.00E+00,
flame-spray-8.avi,7.14E+00,7.74E+00,1.01E+01,8.00E-01,3.50E-01,1.31E+02,0.00E+00,
flame-spray-52.avi,7.74E+00,8.46E+00,5.10E+00,8.00E-01,5.00E-01,2.18E+04,0.00E+00,
flame-spray-6.avi,7.74E+00,8.46E+00,5.10E+00,8.00E-01,5.00E-01,1.30E+02,0.00E+00,
flame-spray-50.avi,7.50E+00,8.10E+00,9.90E+00,8.10E-01,3.60E-01,2.18E+02,0.00E+00,
flame-spray-4.avi,7.50E+00,8.10E+00,9.90E+00,8.10E-01,3.60E-01,1.32E+02,0.00E+00,
flame-spray-48.avi,1.00E+01,1.05E+01,5.70E+00,8.30E-01,5.40E-01,2.18E+02,1.00E+00,
flame-spray-2.avi,1.00E+01,1.05E+01,5.70E+00,8.30E-01,5.40E-01,1.34E+02,0.00E+00,
flame-spray-47.avi,9.78E+00,1.03E+01,1.31E+01,8.30E-01,3.60E-01,2.18E+02,1.00E+00,
flame-spray-1.avi,9.78E+00,1.03E+01,1.31E+01,8.30E-01,3.60E-01,1.34E+02,1.00E+00,
flame-spray-49.avi,9.18E+00,9.54E+00,6.90E+00,8.40E-01,4.90E-01,2.18E+02,1.00E+00,
flame-spray-3.avi,9.18E+00,9.54E+00,6.90E+00,8.40E-01,4.90E-01,1.33E+02,0.00E+00,
flame-spray-51.avi,9.30E+00,9.42E+00,7.90E+00,8.60E-01,4.70E-01,2.19E+02,1.00E+00,
flame-spray-5.avi,9.30E+00,9.42E+00,7.90E+00,8.60E-01,4.70E-01,1.31E+02,1.00E+00,
flame-spray-53.avi,1.06E+01,1.07E+01,5.30E+00,8.60E-01,5.80E-01,2.19E+02,1.00E+00,
flame-spray-7.avi,1.06E+01,1.07E+01,5.30E+00,8.60E-01,5.80E-01,1.31E+02,1.00E+00,
flame-spray-9.avi,6.90E+00,7.02E+00,1.43E+01,8.60E-01,2.80E-01,1.32E+02,0.00E+00,
flame-spray-11.avi,8.94E+00,9.06E+00,1.05E+01,8.60E-01,4.00E-01,1.33E+02,0.00E+00,
flame-spray-13.avi,8.22E+00,8.22E+00,1.11E+01,8.70E-01,3.70E-01,1.35E+02,0.00E+00,
flame-spray-15.avi,6.78E+00,6.78E+00,1.35E+01,8.70E-01,2.90E-01,1.38E+02,0.00E+00,
flame-spray-17.avi,1.12E+01,1.12E+01,9.50E+00,8.70E-01,4.70E-01,1.40E+02,1.00E+00,
