TEOS (%),Sheath Oxygen,Result
4.123523656,15.41684425,1
3.066310808,22.01195088,1
5.845941141,10.43480875,0
5.976039663,24.94640112,1
5.474209627,23.35757197,0
4.611603814,21.63002093,0
9.181546569,13.00698094,0
7.479048005,24.11224357,1
9.004951515,18.63211381,0
6.941918853,21.73353951,0
3.159664115,16.50341107,0
5.690547597,23.75429563,0
9.391844763,18.40912174,1
0.585032047,17.676958,1
7.657365655,13.74780767,0
2.074540235,14.42416372,0
1.614619368,11.92347524,0
3.909660583,13.53666856,1
3.77975886,19.11950497,1
2.634074822,11.14530199,1
